file,missing_lines
whispr-client:src/lib/api.ts,"[3, 13, 14, 20, 21, 22, 23, 25, 28, 32, 35, 39, 45, 49, 52, 54, 55, 59, 60, 62, 65, 67, 68, 70, 73, 76, 77, 80, 82, 87]"
whispr-client:src/App.tsx,[2]
whispr-client:src/components/ui/button.tsx,"[7, 48, 50]"
whispr-client:src/layouts/chat-layout.tsx,"[29, 30, 31, 33, 34, 35, 37, 38, 40, 41, 74, 75, 77, 84, 91, 96, 101, 107, 108, 115, 122, 123, 126, 127, 132, 133, 134, 137, 141, 142, 143, 149, 161, 167, 176, 178, 181, 182, 184, 187, 190, 194, 195, 198]"
whispr-client:src/lib/conversation-store.ts,"[12, 28, 29, 33, 39, 54, 55, 58, 61, 63, 70, 71, 73, 76, 80, 87, 88, 90, 92, 95, 99, 108, 109, 111, 112, 114, 117, 125, 133, 141, 160, 161, 163, 164, 174, 175, 177, 178, 180, 181, 183, 190, 191]"
whispr-client:src/components/corner-accents.tsx,[4]
whispr-client:src/components/create-group-chat.tsx,"[26, 27, 28, 30, 31, 34, 36, 37, 44, 45, 47, 48, 51, 52, 53, 56, 57, 58, 60, 62, 66, 67, 68, 69, 72]"
whispr-client:src/lib/crypto.ts,"[267, 268, 299, 300, 332, 369, 406, 409, 412, 413, 415, 421, 422, 423, 425, 438, 439, 441, 454, 460, 507, 508, 510, 542, 556, 557, 559, 564, 565, 566, 569, 570, 573, 574, 575, 576, 579, 580, 581, 582, 583, 584, 586, 588, 591, 596, 598, 605, 634, 635, 637]"
whispr-client:src/components/ui/dialog.tsx,"[10, 16, 22, 28, 35, 52, 74, 84, 100, 113]"
whispr-client:src/components/ui/dropdown-menu.tsx,"[10, 16, 24, 37, 55, 69, 89, 112, 125, 151, 168, 181, 196, 207, 227]"
whispr-client:src/features/chat/index.tsx,"[108, 111, 113, 115, 116, 118, 120, 121, 122, 124, 131, 133, 136, 139, 142, 143, 162, 184, 189, 193, 195, 202, 203, 204, 205, 207, 208, 209, 218, 257, 267, 268, 272, 273, 274, 277, 282, 292, 309, 310, 313, 317, 320, 327, 328, 330, 337, 338, 341, 350, 351, 352, 354, 356, 359, 361, 369, 377, 382, 391, 397, 403, 413, 417, 428, 429, 430, 432, 434, 534, 541, 542, 544, 545, 548, 552, 556, 557, 561, 562, 566, 567, 569, 571, 574, 576, 578, 588, 589, 624, 698]"
whispr-client:src/components/ui/input.tsx,[6]
whispr-client:src/features/loading.tsx,[4]
whispr-client:src/features/auth/login.tsx,"[10, 13, 14, 16, 17, 19, 20, 21, 22, 25, 29, 30, 31, 34, 35, 36, 38, 42, 50]"
whispr-client:src/layouts/main-layout.tsx,"[9, 10, 12, 13, 14, 15, 18, 19, 21, 22, 24, 26, 28, 31, 35, 36, 40]"
whispr-client:src/lib/message-crypto.ts,"[13, 16, 19, 25, 40, 47, 49, 60, 63, 69, 81, 84, 91, 115, 118, 124, 142, 143, 144, 147, 150, 156]"
whispr-client:src/components/mfa-reset-dialog.tsx,"[19, 21, 22, 24, 29]"
whispr-client:src/features/auth/mfa-setup.tsx,"[12, 14, 15, 17, 18, 20, 21, 22, 24, 25, 30, 31, 32, 34, 35, 40, 41, 42, 45, 46, 49, 88, 89]"
whispr-client:src/features/auth/mfa-verify.tsx,"[12, 13, 15, 17, 19, 20, 21, 23, 25, 26, 27, 30, 31, 32, 35, 39, 40, 41, 43, 47, 48, 51, 53, 61]"
whispr-client:src/features/auth/oauth.tsx,"[8, 13, 14, 15, 17, 20, 21, 22, 24, 25, 27, 28, 29, 32, 33, 34, 36, 39, 41, 43, 45, 56, 58, 66, 67, 68, 70, 73, 74, 93]"
whispr-client:src/layouts/protected-route.tsx,"[11, 17, 18, 21, 22, 25]"
whispr-client:src/features/user/queries.ts,"[8, 9, 10, 13, 14]"
whispr-client:src/features/auth/queries.ts,"[9, 18, 21, 24, 25, 36, 44, 45, 48, 51, 52, 57, 62, 65, 68, 69, 82, 83, 90, 93, 94, 101, 102, 105, 108, 109, 114, 118, 121, 124, 125, 127, 130, 135, 142, 145, 148, 149, 155, 156, 159, 162, 163, 165, 168, 173, 174, 177, 180, 181, 183, 186]"
whispr-client:src/features/chat/queries.ts,"[12, 13, 16, 17, 24, 28, 31, 32, 39, 40, 54, 64, 69, 70, 87, 91, 96, 97, 100, 101, 108, 109, 121, 129, 135, 139, 142, 150, 157, 161, 164, 165, 172, 173, 181, 189, 194, 195, 197, 198]"
whispr-client:src/root.tsx,"[17, 19]"
whispr-client:src/features/auth/sign-up.tsx,"[12, 13, 14, 15, 17, 19, 21, 22, 28, 29, 32, 33, 34, 37, 38, 39, 42, 46, 47, 50, 56]"
whispr-client:src/components/ui/sonner.tsx,"[4, 5, 7]"
whispr-client:src/lib/utils.ts,"[7, 10, 11, 13, 15, 19, 21, 29]"
